o	I am always very hungry before I go to bed. I am	concerned that this is an illness.	glad that I do not have a kitchen.	fearful that there are monsters under my bed.	tempted to snack when I feel this way.	3
o	I am feeling nervous about my midterm tomorrow. I fear that	the professor will delay the midterm.	I will doodle on my exam and receive points for it.	my grandpa has diabetes.	I will fail.	3
o	My brother is very good at math. He	has a watermelon in his shirt.	is flying out the window.	looks like Billy Bob Buddle.	won a math competition when he was 5.	3
o	I feel sickly. I think	I will have a great time.	I will see my brother at the casino.	I will fly out the window.	I will not go to school today.	3
o	I am feeling hungry. I think I will	call my mother.	have some ravioli.	fly out the window.	go on a run outside.	1
o	Today my classmate asked an intriguing question. He	has a deep understanding of the material.	is really good at soccer.	is secretly the teacher.	stood upside down.	0
o	I am feeling clumsy today. I think	it is the end of the world.	I didn't get enough sleep.	have a lot of troubles.	I am secretly a panda.	1
o	The woman is now blow drying the dog. The dog	is live tweeting the action.	seems increasingly happy as his sogginess decreases.	is preparing to take the GRE.	isn't necessarily a professor of neuroscience.	1
o	Doug likes nachos.  He	keeps his coin collection inside.	uses them as a missile defense system.	pours milk all over them for crispiness.	enjoys the chips and melted cheese.	3
q	My brother is three years younger than me. I	feel jealous that I was always more successful than him.	will be forty when he is thirty.	wonder if his name is Henry.	remember being an only child before he was born.	3
q	I have a younger brother. I	have flown farther than he has.	will be forty when he is thirty.	am a mother of three alpacas.	will be thirty when he is forty.	1
o	Paul was riding an elephant and accidentally fell off.  Paul	had a trunk and four legs.	never left the elephant's back.	vowed to never ride an elephant again.	asked the elephant to order him two milkshakes.	2
p	I go to Northwestern. I	think the directions are north, then west.	study computer science.	dress warmly.	say "go cats" first thing in the morning.	1
o	I have a cucumber and a cactus. I will	sit on the cucumber.	eat the cucumber.	eat the cactus.	sit on the cactus.	1
o	I have a strawberry, hammer, grass, and boyfriend. I will eat	the boyfriend.	the strawberry.	the hammer.	the grass.	1
o	A man sits under an umbrella on the beach.  He	puts on his helmet and returns to the field.	concludes his presentation with a Q and A session.	reaches over and takes a sip of his pina colada.	rows the oars aggressively.	2
q	A woman is walking two dogs and carrying a cat on her way to her car.  She	puts all three animals in the back seat before driving off.	puts all four animals in the back seat before driving off.	puts both animals in the back seat before driving off.	puts all nine animals in the back seat before driving off.	0
o	Bach Goldberg Variations were playing in the room. The	music was pleasant to both heart and mind .	clouds are usually in a variety of shapes .	noise was unbearably loud .	variations in play style of the athletes were interesting to observe .	0
o	It is a cold winter day. I will	bask in the sun.	wear a large down parka.	have cereal for breakfast.	imagine the infinite possibilities of the day.	1
o	A man is flying a dragon-shaped kite.  He	draws his sword and begins to attack the dragon.	puts mustard on the hot dog and hands it to the customer.	finishes mowing and begins weeding the garden.	works the lines to make the dragon do long loops through the air.	3
p	A clown is fashioning animals from long balloons.  He	releases the animals into their natural habitat.	makes a giraffe and hands it to a child.	yells out for his second in command to pilot the battleship around the obstacle.	releases the balloon and it flies high into the air.	1
o	A man is speaking to a group of executives in a boardroom.  He	makes balloon animals and gives them to each executive.	gestures to a slide showing the change in sales over time.	types rapidly on his laptop without saying a word.	climbs into the treehouse.	1
o	Paul cuts a piece of cake in half.  He	is happy that he destroyed the piece of cake.	gives a piece to each of his two kids.	realizes the piece of cake is now useless.	then merges the two halves into a whole piece indistinguishable from the one he started with.	1
o	Typhoid fever ravaged the village. The villagers	were feeling better than ever.	recommended taking antibiotics and drinking the same fluids used for handwashing.	responded by sarcastically mocking the naysayers.	felt there was no hope.	3
o	I have a hard time making friends. I think it is because I	lack social skills.	care about the environment.	have a hard time finding dogs who share my personality.	live in Chicago.	0
p	Secret Hitler is my favorite board game. I	enjoy playing it with a group of 8-10 friends.	don't like it as much as Avalon.	am very left-leaning politically.	visited Germany last summer.	0
